Group,GroupName,Rank,No,Name,Team,SartTime,EndTime,ResultTime,GapTime,AvgSpeed,Points
8,EBike,1,002,楼文钧,假日单车山地队,14:30:36.305,14:41:38.355,00:11:02.050,00:00:00.000,7.341,500
8,EBike,2,001,丁再刚,勇峰自行车公园,14:29:36.236,14:41:50.825,00:12:14.589,00:01:12.539,6.621,450
8,EBike,3,003,章子俊,石舌章队,14:31:36.999,14:45:52.488,00:14:15.489,00:03:13.439,5.684,420
8,EBike,4,008,仰海龙,蛟龙,14:32:36.347,14:48:56.560,00:16:20.213,00:05:18.163,4.959,400
8,EBike,5,005,姜波,轻蜂摩嗨,DNS,DNS,DNS,DNS,0,0
8,EBike,6,006,姚路,轻蜂,DNS,DNS,DNS,DNS,0,0
8,EBike,7,007,王蒙,杭州Trek,DNS,DNS,DNS,DNS,0,0
8,EBike,8,004,刘卓,虬龙科技,DNS,DNS,DNS,DNS,0,0
4,男子组,1,102,吴超,长沙顺时针车队,14:33:06.017,14:49:35.361,00:16:29.344,00:00:00.000,4.914,500
4,男子组,2,101,雷星,HangZhou Giant Racing,15:31:56.003,15:49:22.662,00:17:26.659,00:00:57.315,4.646,450
4,男子组,3,104,唐梦麒,北京GDRRacingTeam,14:35:06.265,14:52:50.742,00:17:44.477,00:01:15.133,4.568,420
4,男子组,4,103,周小焜,长沙CYCGO速行俱乐部,14:34:05.810,14:52:01.091,00:17:55.281,00:01:25.937,4.521,400
4,男子组,5,115,杨琦,27Bike上海能量x生滑,14:42:05.754,15:00:07.182,00:18:01.428,00:01:32.084,4.496,390
4,男子组,6,108,黄立观,假日单车山地队,14:36:06.155,14:55:23.453,00:19:17.298,00:02:47.954,4.201,380
4,男子组,7,112,杜芳旭,长沙CYCGO速行俱乐部,14:39:05.937,14:59:08.398,00:20:02.461,00:03:33.117,4.043,370
4,男子组,8,119,Ammon Lewis,27Bike上海能量x生滑,14:45:07.158,15:05:17.563,00:20:10.405,00:03:41.061,4.017,360
4,男子组,9,130,李祖彜/Barry Lee,西虹试飞客队,14:52:35.830,15:13:30.043,00:20:54.213,00:04:24.869,3.876,350
4,男子组,10,117,Baillod Yves Laurent Gabriel,上海魅力单车,14:43:06.916,15:04:02.405,00:20:55.489,00:04:26.145,3.873,340
